央视-河南电信,#genre#
驻马店科教频道,http://219.150.217.47:6610/PLTV2/2400/index.m3u8?icpid=dxrm1
上蔡,http://222.85.69.6/PLTV/88888888/224/3221227240/index.m3u8?icpid=88888888&servicetype=1
泌阳,http://222.85.25.226/PLTV/88888888/224/3221227238/1.m3u8
遂平,http://222.85.25.226/PLTV/88888888/224/3221227247/1.m3u8
济源,http://219.150.217.47:6610/PLTV2/2580/index.m3u8?icpid=dxrm1
测试频道,http://222.85.69.6/PLTV/88888888/224/3221227133/index.m3u8?icpid=88888888&servicetype=1
测试频道,http://222.85.69.6/PLTV/88888888/224/3221227147/index.m3u8?icpid=88888888&servicetype=1
测试频道,http://222.85.69.6/PLTV/88888888/224/3221227191/index.m3u8?icpid=88888888&servicetype=1
测试频道,http://222.85.69.6/PLTV/88888888/224/3221227221/index.m3u8?icpid=88888888&servicetype=1
测试频道,http://222.85.69.6/PLTV/88888888/224/3221227336/index.m3u8?icpid=88888888&servicetype=1
收费-河南电信,#genre#
卡酷少儿,http://219.150.217.47:6610/PLTV1/1580/index.m3u8?icpid=dxrm1
国学频道,http://219.150.217.47:6610/PLTV2/3720/index.m3u8?icpid=dxrm1
优漫卡通,http://219.150.217.47:6610/PLTV1/1660/index.m3u8?icpid=dxrm1
哈哈炫动,http://219.150.217.47:6610/PLTV1/1600/index.m3u8?icpid=dxrm1
嘉佳卡通,http://219.150.217.47:6610/PLTV1/1560/index.m3u8?icpid=dxrm1
金鹰卡通,http://219.150.217.47:6610/PLTV1/1540/index.m3u8?icpid=dxrm1
都市剧场,http://222.85.69.6/PLTV/88888888/224/3221227127/index.m3u8?icpid=88888888&servicetype=1
动漫秀场,http://222.85.69.6/PLTV/88888888/224/3221227131/index.m3u8?icpid=88888888&servicetype=1
法治天地,http://222.85.69.6/PLTV/88888888/224/3221227170/index.m3u8?icpid=88888888&servicetype=1
生活时尚,http://222.85.69.6/PLTV/88888888/224/3221227148/index.m3u8?icpid=88888888&servicetype=1
汽摩频道,http://222.85.69.6/PLTV/88888888/224/3221227149/index.m3u8?icpid=88888888&servicetype=1
武术世界,http://222.85.69.6/PLTV/88888888/224/3221227003/index.m3u8?icpid=88888888&servicetype=1
梨园频道,http://222.85.69.6/PLTV/88888888/224/3221226996/index.m3u8?icpid=88888888&servicetype=1
文物宝库,http://222.85.69.6/PLTV/88888888/224/3221226999/index.m3u8?icpid=88888888&servicetype=1
中国天气,http://222.85.69.6/PLTV/88888888/224/3221227121/index.m3u8?icpid=88888888&servicetype=1
游戏风云,http://222.85.69.6/PLTV/88888888/224/3221227152/index.m3u8?icpid=88888888&servicetype=1
金鹰纪实,http://222.85.69.6/PLTV/88888888/224/3221227154/index.m3u8?icpid=88888888&servicetype=1
快乐垂钓,http://222.85.69.6/PLTV/88888888/224/3221227128/index.m3u8?icpid=88888888&servicetype=1
金色学堂,http://222.85.69.6/PLTV/88888888/224/3221227145/index.m3u8?icpid=88888888&servicetype=1
财富天下,http://222.85.69.6/PLTV/88888888/224/3221227195/index.m3u8?icpid=88888888&servicetype=1
乐游频道,http://222.85.69.6/PLTV/88888888/224/3221227155/index.m3u8?icpid=88888888&servicetype=1
环球旅游,http://222.85.69.6/PLTV/88888888/224/3221227192/index.m3u8?icpid=88888888&servicetype=1
书画频道,http://222.85.69.6/PLTV/88888888/224/3221227160/index.m3u8?icpid=88888888&servicetype=1
中学生,http://222.85.69.6/PLTV/88888888/224/3221227189/index.m3u8?icpid=88888888&servicetype=1
发现之旅,http://222.85.69.6/PLTV/88888888/224/3221227151/index.m3u8?icpid=88888888&servicetype=1
老故事,http://222.85.69.6/PLTV/88888888/224/3221227173/index.m3u8?icpid=88888888&servicetype=1
东方财经,http://222.85.69.6/PLTV/88888888/224/3221227141/index.m3u8?icpid=88888888&servicetype=1
优优宝贝,http://222.85.69.6/PLTV/88888888/224/3221227146/index.m3u8?icpid=88888888&servicetype=1
四海钓鱼,http://222.85.69.6/PLTV/88888888/224/3221227168/index.m3u8?icpid=88888888&servicetype=1
